Čistící prostředky,,,Cena 
Domestos 750ml,,,23.30 Kč
Savo koupelna 500ml,,,31.60 Kč
Savo kuchyň 500ml,,,31.60 Kč
"Savo original 1,2l",,,27.50 Kč
Savo original 2l,,,39.20 Kč
Savo original 4l,,,83.40 Kč
Savo proti plísni 500ml,,,
Fixinela 500ml,,,22.50 Kč
Fixinela antikalk sprej 500ml,,,
Pulirapid 750ml,,,51.70 Kč
Pulirapid 500ml,,,
Revo premium 1l,,,55.00 Kč
Revo aktivní pěna 800ml,,,64.00 Kč
Real písek 600g,,,27.50 Kč
Ocet 1l,,,8.30 Kč
Leneko na nerez 750ml,,,
Tuba sprej na skvrny 500ml,,,
Pronto sprej 250ml,,,
Clin na okna rozprašovač 500ml,,,26.70 Kč
"Clin na okna 4,5l",,,
Aro čistič skla 5l,,,
Sanytol sprej 500ml,,,53.40 Kč
Sanytol 1l,,,
Sanytol 5l,,,
Desinfekto 5l,,,
Ajax 1l,,,25.00 Kč
Ajax 5l,,,149.00 Kč
Cit na laminát 1l,,,
Cit universal 1l,,,
Aro universal 5l,,,
Milit universal 5l,,,
Krystal na podlahu 5l,,,144.20 Kč
Odpěňovač ODB 5l,,,175.00 Kč
Ralex 10l,,,383.00 Kč
Prášek na praní 9kg,,,75.00 Kč
Jar na nádobí 450ml,,,20.00 Kč
Jar na nádobí 900ml,,,32.50 Kč
Osvěžovač vzduchu sprej 300ml,,,
Rukavice jednorázové 100ks,,,119.00 Kč
Rukavice na více požití,,,
Houbičky na nádobí sӧke 10ks,,,18.40 Kč
Houbičky na nádobí spontex 3ks,,,
Houba na nádobí spontex 1ks,,,
Houbové utěrky sӧke 3ks,,,
"Hadr mikrovlákno Home point 30x30cm, 3ks",,,
Hadr mikrovlákno Home point 40x40cm ,,,
Hadr mikrovlákno Home point 50x60cm,,,
Hadr mikrovlákno Vileda microfibre 8ks,,,96.00 Kč
Hadr na podlahu,,,
Hadr na podlahu oranžový,,,
Sáčky do vysávače WD3,,,34.30 Kč
Sáčky do vysávače T10,,,24.70 Kč
,,,
Pytle a sáčky na odpad,,,
Sáček do koše 30l,,,13.40 Kč
Sáček do koše 60l,,,21.00 Kč
Sáček do koše 70l,,,39.60 Kč
Pytel na odpad 120l černý,,,68.20 Kč
Pytel na odpad 120l modrý,,,67.00 Kč
Pytel na odpad 120l žlutý,,,86.50 Kč
Pytel na odpad 120l zelený,,,
Pytel na odpad 120l červený,,,
Pytel na odpad 120l transparentní,,,
Pytel na odpad 240l,,,46.90 Kč
,,,
Hygienický materiál,,,
Katrin ZZ 100683 zelená,,,360.50 Kč
Katrin ZZ 100669 bílá,,,508.00 Kč
Cliro ZZ šedá,,,236.00 Kč
Katrin ZZ clasic (pytel),,,449.50 Kč
Papírový ručník v roli MIDI,,,22.70 Kč
Toaletní papír malé ruličky 65% bělost,,,203.20 Kč
Toaletní papír malé ruličky celulóza,,,
Toaletní papír 190mm recykl šedá,,,87.80 Kč
Toaletní papír 190mm 65% bělost,,,177.10 Kč
Toaletní papír 230mm recykl šedá,,,99.00 Kč
Toaletní papír 230mm 65% bělost,,,129.90 Kč
Toaletní papír 230mm celulóza,,,220.10 Kč
Toaletní papír 280mm recykl šedá,,,120.00 Kč
Toaletní papír 280mm 65% bělost,,,
Toaletní papír 280mm celulóza,,,
Tekuté mýdlo 5l,,,59.80 Kč
Tekuté mýdlo Tork 1l,,,149.00 Kč
Vonné sítko do pisoáru 2ks,,,116.00 Kč
Hygienické sáčky (bílá krabička),,,15.60 Kč
Hygienické sáčky (papírové),,,
"Ručník papírový skládaný ZZ, celulóza, 4000ks",,,318.50 Kč
"Toaletní papír QUALITY, 2 vrstvy, barevný ",,,12.95 Kč
,,,
Vybavení,,,
Smetáček a lopatka,,,41.60 Kč
Koště,,,79.30 Kč
Držák mopu 40cm jazykový,,,619.00 Kč
Držák mopu 40cm kapsový,,,266.70 Kč
Držák mopu 80cm,,,119.00 Kč
Tyč k mopu,,,89.00 Kč
Návlek mopu 40cm jazykový bavlněný,,,105.00 Kč
Návlek mopu 40cm jazykový mikrovlákno,,,105.70 Kč
Návlek mopu 40cm kapsový bavlněný,,,109.90 Kč
Návlek mopu 40cm kapsový mikrovlákno,,,104.90 Kč
Návlek mopu 80cm bavlněný,,,185.30 Kč
"Pad ""13"" černý",,,238.00 Kč